"Worum geht es im Kernthema des Podcasts ""Reaktionsautomatismen und zwanghaftes Denken""?","Es geht um automatische Reaktionsmuster, die einen Teufelskreis erzeugen, der unsere Entscheidungsfreiheit einschränkt."
Was löst laut Pamela Michaelis zwanghaftes Denken aus?,Unsere emotionale Reaktion löst zwanghaftes Denken aus.
Welcher Teil des Gehirns ist laut dem Podcast der Ausgangspunkt für die emotionale Bewertung und den Reaktionskreislauf?,Die Amygdala (Mandelkern) im limbischen System.
"Welche grundlegende Bewertung findet in der Amygdala statt, wenn ein Reiz wahrgenommen wird?","Es findet eine Bewertung statt, die ein emotionales Plus- oder Minus-Gefühl auslöst."
"Die Inhalte des zwanghaften Denkens beziehen sich auf Themen, die für unseren _____ relevant sind.",Enneagramm-Stil
Was ist ein typischer Auslöser für eine emotionale Reaktion bei Herz-Menschen im Enneagramm?,Eine Bedrohung des eigenen persönlichen Werts in den Augen anderer.
Welche Art von Angst ist ein typischer Auslöser für den Reaktionskreislauf bei Kopf-Menschen?,"Die Angst, von einer Autorität hintergangen, ausgeliefert oder getäuscht zu werden."
Welche zentralen Themen lösen den Reaktionskreislauf bei Bauch-Menschen aus?,"Die Themen Respekt, die eigene Position und die Vermeidung von Hilflosigkeit oder Ohnmacht."
Welchen Einfluss hat die persönliche Biografie auf unsere heutigen emotionalen Reaktionen?,"Frühe biografische Erlebnisse, die emotional stark waren, sind im limbischen System gespeichert und können heutige Reaktionen auslösen."
Was passiert laut dem Schaubild direkt nach der Aktivierung der Amygdala (Mandelkern)?,Es erfolgt ein Abgleich mit dem Gedächtnis (Memory Bank).
Welche drei archaischen Stressreaktionen werden im Podcast genannt?,"Kampf, Flucht und Erstarren (Fight, Flight, Freeze)."
Der Schritt im Reaktionskreislauf nach der körperlichen Stressreaktion ist das _____.,zwanghafte Denken (Compulsive Thinking)
Warum schließt das zwanghafte Denken den Reaktionskreislauf?,Weil durch das zwanghafte Denken der auslösende emotionale Knopf immer wieder gedrückt wird.
"Welches der drei Zentren (Kopf, Herz, Bauch) übernimmt die Kontrolle über den automatischen Reaktionskreislauf?",Das Kopfzentrum übernimmt die Kontrolle.
"Was ist die Voraussetzung dafür, dass das Kopfzentrum wieder offen für neue Informationen werden kann?","Der Kopf muss erst frei werden, um Informationen aus den anderen beiden Zentren empfangen zu können."
Wie viel Prozent der emotionalen Reaktion kommen laut einer revidierten Einschätzung von Pamela Michaelis aus unserem inneren Speicher (Memory Banks)?,"Sie befürchtet, dass es nahezu 100 Prozent sind."
"Was kann entstehen, wenn wir es schaffen, den verschlossenen Reaktionskreis zu öffnen und uns zu erden?",Es kann Neugierde entstehen und wir können neue Informationen von außen aufnehmen.
"Welcher der drei Instinkte (Fight, Flight, Freeze) wird primär den Bauch-Menschen zugeordnet?",Der Kampf-Instinkt (Fight).
Welche Verhaltensweise wird im Podcast dem Flucht-Instinkt (Flight) zugeordnet?,"Sich zurückziehen, die Meinung zurückziehen, ruhig werden oder den Raum verlassen."
Welcher Instinkt wird dem Herzzentrum zugeordnet und wie äußert er sich oft?,"Der Erstarrungs-Instinkt (Freeze), der sich oft als Beschwichtigen äußert."
"Wie wird das zwanghafte, wiederholende Denken in der Psychologie oft bezeichnet?",Rumination (Wiederkäuen).
Was ist das Problem oder die Folge von zwanghaftem Denken (Rumination)?,"Es verursacht Leid, da die emotionale Reaktion im Kopf gebunden und immer wieder durchlebt wird."
In der Psychologie wird Rumination als eine Form von _____ Denken gesehen.,unproduktivem
Welchen Einfluss hat die Stimmung einer Person auf die Neigung zur Rumination?,Eine neutrale oder positive Stimmung kann als eine Art Schutz vor den negativen Folgen von Rumination wirken.
Welche psychologische Funktion erfüllt das zwanghafte Denken für das Ego?,Es bindet Stressfaktoren und gibt ein Ersatzgefühl für Sicherheit und Kontrolle.
"Welche Art von Fragestellung neigt dazu, in Rumination zu enden?","Die Frage nach dem ""Warum""."
"Welche Fragestellungen helfen, den Kreislauf des zwanghaften Denkens zu unterbrechen?","Fragen wie ""Was kann ich tun?"" oder ""Wie könnte ich etwas angehen?""."
"Warum ist die Frage nach dem ""Warum"" eine Verschwendung von Energie im Kontext des Reaktionskreislaufs?","Weil sie ein Appell an das Kopfzentrum ist, das bereits die Quelle des zwanghaften Denkens ist."
"Was ist die eigentliche Aufgabe einer Emotion, bevor sie vom zwanghaften Denken gekapert wird?","Sie ist eine Information aus unserer Lebendigkeit, die uns informieren soll, damit wir weise handeln können."
Was ist laut dem Neurowissenschaftler Joe Dispenza das Endprodukt eines jeden Erlebnisses?,Eine Emotion.
Kann das Gehirn laut den zitierten Studien zwischen einem realen Erlebnis und einer reinen Vorstellung unterscheiden?,"Nein, das Gehirn kann nicht unterscheiden; die Vorstellung löst dieselben Botenstoffe aus wie das reale Erlebnis."
Wie lange sind die bei einer emotionalen Reaktion ausgeschütteten Hormone laut einer Studie rein biologisch im Körper vorhanden?,Nur ein bis zwei Sekunden.
Wodurch wird eine emotionale Reaktion über die ersten Sekunden hinaus aufrechterhalten?,"Durch das Gehirn, das durch zwanghaftes Denken (Wiederkäuen) die Hormone immer wieder neu ausschüttet."
"An welchem Punkt im Reaktionskreislauf ist der ideale Moment, um auszusteigen?","In dem Moment, in dem man die körperliche Reaktion spürt, aber bevor man gehandelt hat."
"Was ist der allererste Schritt, den man tun sollte, wenn man merkt, dass ein emotionaler Knopf gedrückt wurde?",Die volle Verantwortung für die eigene Reaktion übernehmen.
"Welche zwei praktischen Handlungen werden als erste Hilfe empfohlen, um den Reaktionskreislauf zu unterbrechen?",Erdung und ein tiefer Atemzug in den Körper.
"Was ist der Zweck des tiefen Atmens in den Körper, wenn eine emotionale Reaktion aufkommt?","Es dient dazu, die Reaktion zu halten und Raum für sie zu schaffen, nicht um sie zu unterdrücken."
"Was bedeutet es, zum ""Container"" für die eigene emotionale Reaktion zu werden?","Man schafft durch Erdung und Atmung inneren Raum, um die Emotion zu halten und zu spüren, ohne sofort zu reagieren."
"Was bedeutet ""sich erden"" im Kontext des Aussteigens aus dem Reaktionskreislauf?","Die Aufmerksamkeit in den Körper zu bringen und mit allen fünf Sinnen wach zu sein, z.B. die Füße auf dem Boden zu spüren."
"Welche Haltung ist entscheidend, um die Informationen einer Emotion für die persönliche Weiterentwicklung zu nutzen?","Die Emotionen zu akzeptieren, wertzuschätzen und sich von ihnen informieren zu lassen."
"Was ist die ""dritte Kraft"", die entsteht, wenn man aus dem dualistischen Reaktionskreislauf aussteigt?","Es ist eine versöhnende, integrierende Kraft, die alle drei Zentren nutzt, um etwas Neues zu schaffen."
"Was bedeutet es, die drei Zentren zu integrieren?","Es bedeutet, Informationen aus Bauch, Herz und Kopf gleichzeitig wahrzunehmen und daraus eine ganzheitliche Perspektive und Handlung abzuleiten."
"Was muss man tun, bevor man die drei Zentren integrieren kann?","Man muss sie erst ausdifferenzieren, also lernen, die spezifischen Informationen jedes einzelnen Zentrums zu erkennen."
"Welche Haltung ist hilfreich, um neue Erkenntnisse in einer schwierigen Situation einzubringen?","Die Haltung, nicht recht haben zu müssen und den Prozess bereichern zu wollen, anstatt die einzig richtige Lösung zu haben."
"Worin besteht die spezifische Herausforderung für Kopf-Menschen, wenn sie aus ihrem Reaktionskreislauf aussteigen wollen?","Sie müssen lernen, die ankommende Reaktion im Bauchzentrum ernst zu nehmen, bevor sie im Kopf ankommt und zu Projektionen führt."
"Was ist ein hilfreicher Fokus für Herz-Menschen, um aus ihrem zwanghaften Denken auszusteigen?",Die Aufmerksamkeit von der emotionalen Beziehungsebene auf sachliche Inhalte oder die Stärken einer Situation zu richten.
"Was ist ein klares Anzeichen dafür, dass Bauch-Menschen sich in einem geschlossenen Reaktionskreislauf befinden?","Ein Gefühl von Schwarz-Weiß-Denken, bei dem sie absolut sicher sind, Recht zu haben und es keine Alternativen gibt."
"Was benötigen Bauch-Menschen oft, um aus ihrem starren Schwarz-Weiß-Denken auszusteigen?","Sie brauchen mehr Informationen, um Vertrauen zu gewinnen und zu erkennen, dass ihre Sichtweise auf zu wenigen Fakten basiert."
