"Was ist laut dem Podcast die einzige Sache, die uns wirklich aktiv mit der Außenwelt verbindet?",Die Kommunikation.
Welches universelle Gefühl beschreibt der Podcast als zentrales Thema der Kommunikation?,"Das Gefühl, zu hadern, ob man etwas sagen soll oder nicht."
"Die Tendenz, wochen- oder monatelang darüber nachzudenken, was und wie man etwas sagt, wird im Podcast als Start von _____ und zwanghaftem Denken bezeichnet.",Ruminationen
"Entgegen der Annahme, dass Bauch-Menschen es leichter hätten, direkt zu sein, was ist die Beobachtung der Sprecher bezüglich sensibler Themen?","Alle neun Enneagramm-Stile hadern bei für sie wichtigen, sensiblen Themen mit der Kommunikation."
"Was spielt laut Pamela Michaelis eine große Rolle dabei, ob es für jemanden emotional sicher ist, etwas zu sagen?",Vertrauen.
"Was ist die erste Reaktion des eigenen Programms, wenn jemand unsere emotionalen ""Knöpfe drückt""?","Die Annahme, dass jemand anderes Schuld hat oder etwas gemacht hat."
"Was ist laut Pamela Michaelis der erste und wichtigste Schritt, wenn man eine ""Kontraktion im Körper"" (einen getriggerten Punkt) spürt?",Sich sofort zu erden und die volle Verantwortung für die eigene Reaktion zu übernehmen.
"Welche innere Haltung sollte man gegenüber der eigenen ausgelösten Reaktion einnehmen, um das eigene Programm zu unterbrechen?","Neugierde auf sich selbst, um herauszufinden, was genau ausgelöst wurde."
"Wie verändert sich die Frage ""Soll ich es sagen?"", wenn man die innere Arbeit mit der eigenen Reaktion geleistet hat?","Die Frage stellt sich oft nicht mehr; es wird viel klarer, ob und was zu sagen ist."
"Was ist eine mächtige Intervention, wenn man das Gefühl hat, das Gegenüber sei verschlossen und höre nicht zu?","Man kann genau das mit Empathie ansprechen, z.B. ""Ich erlebe dich als recht verschlossen und glaube nicht, dass es Sinn macht, wenn ich dir das jetzt sage."""
Welche unterschiedlichen Gründe können laut Podcast hinter der Verschlossenheit einer Person stecken?,"Rechthaberei, Hilflosigkeit oder die generelle Haltung, erstmal verschlossen zu sein."
"Was ist eine schlaue Methode, um im Außen zu überprüfen, ob das eigene Gefühl (z.B. Ungeduld in einer Gruppe) nur das eigene Thema ist oder für andere relevant ist?","Fragen stellen (z.B. ""Braucht ihr noch mehr Tiefe zum Thema?"", ""Wollen wir auf die Zeit achten?"")."
"Womit ist das Dilemma ""sage ich es oder sage ich es nicht"" aus Sicht des Podcasts immer verbunden?",Mit Angst im System.
"Was wird benötigt, um die Angst zu überwinden und etwas Wichtiges zu kommunizieren?",Mut.
"Welches ""Gesetz"" hilft laut Podcast dabei, mit unerwarteten Reaktionen (z.B. Widerstand) nach einer mutigen Aussage umzugehen?",Das Gesetz der Drei.
"Ist Widerstand vom Gegenüber nach einer mutigen Aussage ein Beweis dafür, dass man etwas falsch gemacht hat?","Nein, es ist eine mögliche Reaktion laut dem Gesetz der Drei und nicht unbedingt ein Zeichen für einen Fehler."
"Welche alte Programmierung wird aktiviert, wenn eine negative Reaktion auf eine mutige Aussage kommt?","Die inneren Glaubenssätze, die sagen: ""Siehst du, hättest du doch nichts gesagt."""
"Was ist eine typische ""Kampftaktik"" des Herzzentrums in der Kommunikation, die oft unbewusst eingesetzt wird?",Andere Personen abzuwerten.
Was ist die empfohlene Strategie für die Kommunikation bei polarisierenden Themen wie Corona?,"Den eigenen Standpunkt vertreten, ohne zu versuchen, die andere Person zu überzeugen."
"Wozu führt es oft, wenn man sich auf eine Debatte über Fakten und Studien bei polarisierenden Themen einlässt?","Man wird bewertend und verliert sich in Informationen, die man oft nicht prüfen kann."
Konzept: Integraler Ansatz in der Kommunikation,"Definition: Beiden Seiten einer Diskussion einen Hauch von Wahrheit zusprechen und Raum für unterschiedliche Perspektiven schaffen, um Spaltung zu überwinden."
"Welches Wort beschreibt laut Podcast ein problematisches, kollektives Feindbild in Diskussionen (z.B. ""_____ machen das mit uns"")?",Die.
"Was ist ein großer Nachteil davon, in der Kommunikation primär ""gegen etwas"" zu sein?","Man muss nicht die Verantwortung für eine aktive Problemlösung übernehmen und ist nicht ""für etwas""."
"Welche innere Haltung ist entscheidend, um eine wirklich interessierte Frage zu stellen und nicht nur den anderen zu überführen?",Neugierde (Offenheit im Kopfzentrum).
Was ist laut Transaktionsanalyse die grundlegende Haltung für eine gute Kommunikation?,"Die Haltung ""Ich bin okay, du bist okay""."
Welche drei inneren Anteile (Ich-Zustände) sollten laut Podcast für eine gute Kommunikation zusammenspielen?,"Das Erwachsenen-Ich, das fürsorgliche Eltern-Ich und das freie Kind-Ich."
"Was sind die drei Ziele, die man durch reife Kommunikation laut Transaktionsanalyse erreichen kann?","Autonomie, Spontanität und Intimität."
"Wenn man sich in einer Diskussion nicht vertritt, tendiert man dazu, sich entweder kleiner zu fühlen oder sich _____ zu fühlen.",grandios für klüger als die anderen
"Was ist die Tendenz des Herzzentrums bei Konflikten, die über das reine Abwerten hinausgeht?",Es macht aus Sachthemen sofort ein Beziehungsthema.
Wie äußert sich eine typische Reaktion des Bauchzentrums in Kommunikationskonflikten?,Über die Themen Respekt/Respektlosigkeit und als Reaktion auf Hilflosigkeit durch Attacke.
Was ist eine typische Reaktion des Kopfzentrums in konfliktärer Kommunikation?,"Informationen in Frage stellen, an der Richtigkeit zweifeln und ein verborgenes Motiv hinter den Aussagen suchen."
Welchen positiven Beitrag kann das Bauchzentrum in eine Diskussion einbringen?,"Klarheit, Struktur und die Orientierung an Wertesystemen."
Welchen positiven Beitrag kann das Herzzentrum in eine Diskussion einbringen?,"Hoffnung, Motivation, die Betonung des menschlichen Miteinanders und der Tiefe."
Welchen positiven Beitrag kann das Kopfzentrum in eine Diskussion einbringen?,"Differenzierung, das Einbringen neuer Informationen und interessanter, neuer Perspektiven."
